family,common_name,scientific_names,trophic_groups,swahili_names
Acanthuridae,Blue spine unicornfish,Naso unicornis,Browsers,#N/A
Acanthuridae,Indian gold ring bristel tooth,Ctenochaetus truncatus,Detritivores,#N/A
Acanthuridae,White marhin unicorn,Naso annulatus,#N/A,#N/A
Acanthuridae,Brown tang/ Brown surgeonfish,Acanthurus nigrofuscus,Grazers,#N/A
Acanthuridae,Blackbarred surgeonfish,Acanthurus polyzona,#N/A,#N/A
Acanthuridae,Eyestripe surgeonfish,Acanthurus dussumieri,Grazer-detritivores,#N/A
Acanthuridae,Black surgeonfish,Acanthurus gahhm,Grazer-detritivores,#N/A
Acanthuridae,White spotted ,Acanthurus guttatus,Grazers,#N/A
Acanthuridae,Palelipped surgeonfish,Acanthurus leucocheilus,Grazer-detritivores,#N/A
Acanthuridae,Powder blue surgeonfish,Acanthurus leucosternon,Grazers,#N/A
Acanthuridae,Lined surgeonfish,Acanthurus lineatus,Grazers,#N/A
Acanthuridae,White freckeled,Acanthurus maculiceps,#N/A,#N/A
Serranidae,Yellowfin hind,Cephalopholis hemistiktos,Primary Piscivores,#N/A
Serranidae,Vermilion hind,Cephalopholis aligosticta,#N/A,#N/A
Serranidae,Tomato hind,Cephalopholis sannerati,#N/A,#N/A
Kyphosidae,Brassy chub,Kyphosus vaigiensis,#N/A,#N/A
Holocentridae,Sychelles soldier,Myripristis  seychellensis,#N/A,#N/A
Holocentridae,Whitetip soldierfish,Myripristis vittata,#N/A,#N/A
Haemulidae,Lesson's thicklip,Plectorhinchus lessoni,#N/A,#N/A
Haemulidae,Sordid ruberlip,Plectorhinchus sordidus,Omnivores,#N/A
Gerreidae,Longspine silverbiddy,Gerres macracanthus,#N/A,#N/A
Gerreidae,Mojarra,Gerres maldivensis,#N/A,#N/A
Gerreidae,Slender silverbiddy ,Gerres oblongus,#N/A,#N/A
Fistulariidae,Bluespotted cornetfish,Fistularia commersonii,#N/A,#N/A
Gerreidae,Strongspined silverbiddy,Gerres phaiya,#N/A,#N/A
Gerreidae,Longfin mojarra,Pentaprion longimanus,#N/A,#N/A
Carangidae,Black pomfret,Parastromateus niger,#N/A,#N/A
Carangidae,White trevally,Pseudocaranx dentex,#N/A,#N/A
Carangidae,Golden trevally,Gnathanodon speciosus,Piscivores,#N/A
Carangidae,Tille trevally ,Caranx tille,#N/A,#N/A
Carangidae,Bluefin trevally ,Caranx melampygus,Piscivores,#N/A
Carangidae,Brassy trevally,Caranx papuensis,Piscivores,#N/A
Carangidae,Bigeye trevally,Caranx sexfasciatus,Piscivores,#N/A
Carangidae,Yellow spotted trevally,Carangoides fulvoguttatus,Piscivores,#N/A
Carangidae,Bumpnose trevally   ,Carangoides hedlandensis,#N/A,#N/A
Carangidae,Malabar trevally,Carangoides malabaricus,#N/A,#N/A
Carangidae,Coachwhip trevally,Carangoides oblongus,#N/A,#N/A
Scaridae,Bluehead humphead parrotfish,Chlorurus cyanescens,Small excavators,Pono 14
Balistidae ,Yellowspotted triggerfish,Pseudobalistes fuscus,Invertivores,#N/A
Balistidae ,Gilded triggerfish,Xanthichthys auromarginatus,Planktivores,#N/A
Balistidae ,Starry triggerfish,Abalistes stellatus,#N/A,#N/A
Balistidae ,Redtooth triggerfish,Odonus niger,Planktivores,#N/A
Balistidae ,Yellowmargin triggerfish,Pseudobalistes flavimarginatus,Invertivores,#N/A
Monodactylidae,Full moony,Monodactylus falciformis,#N/A,#N/A
Mullidae,Darom's goatfish,Upeneus davidaromi,#N/A,#N/A
Mullidae,Indian mimic goatfish,Mulloidichthys ayliffe,#N/A,#N/A
Mullidae,Yellowstripe goatfish,Mulloidichthys flavolineatus,#N/A,#N/A
Mugilidae,Bluespot mullet,Moolgarda seheli,#N/A,#N/A
Mugilidae,Flathead grey  mullet ,Mugil cephalus ,#N/A,#N/A
Mugilidae,Freshwater mullet,Myxus capensis,#N/A,#N/A
Mugilidae,Hornlip mullet,Oedalechilus labiosus,#N/A,#N/A
Mugilidae,South African mullet,Chelon richardsonii,#N/A,#N/A
Mugilidae,Greenback mullet,Chelon subviridis,#N/A,#N/A
Carangidae,Indian pompano,Trachinotus mookale,#N/A,#N/A
Carangidae,Longrakered trevally,Ulua mentalis,#N/A,#N/A
Carangidae,Torpedo scad,Megalaspis cordyla,#N/A,#N/A
Tetraodontidae,Silver cheeked toadfish,Lagacephalus sceleratus,#N/A,#N/A
Tetraodontidae,Rippled blaasop,Pelagacephalus marki,#N/A,#N/A
Tetraodontidae,Blunthead puffer,Sphaeraides pachygaster,#N/A,#N/A
Tetraodontidae,Many lined puffer,Arathran multilineatus,#N/A,#N/A
Tetraodontidae,Spiny blaasop,Tylerius spinosissimus,#N/A,#N/A
Tetraodontidae,Bluespotted blaasop,Chelanadantaps laticeps,#N/A,#N/A
Acanthuridae,Horseface unicorn,Naso fageni,Planktivores,#N/A
Acanthuridae,Palette surgeon ,Paracanthurus hepatus,Planktivores,#N/A
Scaridae,Roundhead parrotfish,Scarus viridifucatus,Scrapers,#N/A
Serranidae,Blotched podge,Aporops bilinearis,#N/A,#N/A
Scombridae,Southern bluefin tuna,Thunnus maccoyii,#N/A,#N/A
Scombridae,Atlantic bluefin tuns,Thunnus thannus,#N/A,#N/A
Serranidae,Comber,Serranus knysnaensis,#N/A,#N/A
Balistidae ,Bluethroat triggerfish,Sufflamen albicaudatum,#N/A,#N/A
Nemipteridae,Whitecheek monocle bream ,Scolopsis vorsemi,#N/A,#N/A
Pomacanthidae,Zebra angelfish,Genicanthus caudovittatus,Planktivores,#N/A
Pomacanthidae,Yellowfin angelfish,Centropyge flavipectoralis,#N/A,#N/A
Pomacanthidae,Reunion angelfish,Apolemichthys guezi,#N/A,#N/A
Pomacanthidae,Tiger angelfish,Apolemichthys Kingi,#N/A,#N/A
Pomacanthidae,Emperor angelfish,Pomacanthus imperator,Invertivores,#N/A
