f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Caesionidae,Pterocaesio tile,Pterocaesio tile,Pterocaesio,(Cuvier 1830),Planktivores,0.0093,3.253,,,6.7,24.3,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 37,N,Y,Y,,,,,
Caesionidae,Caesio spp.,Caesio spp.,Caesio,,Planktivores,0.0093,3.253,,,,,Caesio spp.,Kulbicki et al 2005  listed in Green & Bellwood 37,N,Y,Y,,,,,
Haemulidae,Diagramma centurio,Diagramma picta,Diagramma,Johnson & Worthington Wilmer 2015,Omnivores,0.0144,2.988,547,0.997,7,75,Diagramma centurio ,Kulbicki et al 2005  listed in Green & Bellwood 37,N,Y,Y,,,,,
Haemulidae,Plectorhinchus gaterinus,P. gaterinus ,Plectorhinchus,Fabricius 1775,Omnivores,0.0126,3.079,22,0.994,19.5,44,Plectorhinchus lineatus,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,Y,,,,,
Haemulidae,Plectorhinchus gibbosus,P. gibbosus ,Plectorhinchus,(Lacepede 1802),Omnivores,0.0226,2.962,14,0.975,7,38,Plectorhinchus gibbosus ,Kulbicki et al 2005  listed in Green & Bellwood 39,N,Y,Y,,,,,
Haemulidae,Plectorhinchus paulayi,P. paulayi,Plectorhinchus,Steindachner 1895,Omnivores,0.01413,3,,,,45,,,N,Y,Y,,,,,
Haemulidae,Plectorhinchus picus,P. pictus,Plectorhinchus,(Cuvier 1828),Omnivores,0.01148,3.03,,,,84,,,N,Y,Y,,,,,
Haemulidae,Plectorhinchus plagiodesmus,P. plagiodesmus ,Plectorhinchus,Fowler 1935,Omnivores,0.01905,2.95,,,,90,,,N,Y,Y,,,,,
Haemulidae,Plectorhinchus playfairi,P. playfairi ,Plectorhinchus,(Pellegrin 1914),Omnivores,0.0396,2.761,,,,61,Plectorhinchus gibbosus,Kulbicki et al 2005  listed in Green & Bellwood 39,N,Y,Y,,,,,
Haemulidae,Plectorhinchus schotaf,P. schotaf ,Plectorhinchus,(Walbaum 1792),Omnivores,0.0126,3.079,22,0.994,19.5,44,Plectorhinchus lineatus,Kulbicki et al 2005  listed in Green & Bellwood 38,N,Y,Y,,,,,
